"","ArrowHead_TEST.arff","BME_TEST.arff","Car_TEST.arff","Coffee_TEST.arff","Earthquakes_TEST.arff","GunPoint_TEST.arff","ItalyPowerDemand_TEST.arff","Lightning2_TEST.arff","Lightning7_TEST.arff","MoteStrain_TEST.arff","Plane_TEST.arff","ToeSegmentation1_TEST.arff","UMD_TEST.arff","Wine_TEST.arff"
"1",0.714285714285714,0.88,0.683333333333333,0.928571428571429,0.748201438848921,0.946666666666667,0.947521865889213,0.770491803278688,0.753424657534247,0.804313099041534,0.942857142857143,0.68859649122807,0.881944444444444,0.648148148148148
"2",0.685714285714286,0.746666666666667,0.7,0.928571428571429,0.748201438848921,0.933333333333333,0.95821185617104,0.737704918032787,0.753424657534247,0.833067092651757,0.990476190476191,0.697368421052632,0.833333333333333,0.685185185185185
"3",0.691428571428571,0.8,0.666666666666667,1,0.748201438848921,0.926666666666667,0.970845481049563,0.737704918032787,0.73972602739726,0.894568690095847,0.961904761904762,0.666666666666667,0.729166666666667,0.740740740740741
"4",0.742857142857143,0.833333333333333,0.683333333333333,0.964285714285714,0.748201438848921,0.893333333333333,0.910592808551992,0.754098360655738,0.726027397260274,0.847444089456869,0.980952380952381,0.684210526315789,0.736111111111111,0.62962962962963
"5",0.714285714285714,1,0.683333333333333,0.964285714285714,0.748201438848921,0.906666666666667,0.918367346938776,0.819672131147541,0.726027397260274,0.860223642172524,0.971428571428571,0.640350877192982,0.756944444444444,0.685185185185185
"6",0.725714285714286,0.993333333333333,0.7,1,0.748201438848921,0.913333333333333,0.970845481049563,0.770491803278688,0.767123287671233,0.863418530351438,0.990476190476191,0.684210526315789,0.75,0.685185185185185
"7",0.754285714285714,0.793333333333333,0.65,0.928571428571429,0.76978417266187,0.94,0.962099125364432,0.786885245901639,0.73972602739726,0.873003194888179,0.980952380952381,0.671052631578947,0.909722222222222,0.740740740740741
"8",0.72,0.866666666666667,0.716666666666667,1,0.762589928057554,0.933333333333333,0.954324586977648,0.721311475409836,0.808219178082192,0.837859424920128,0.971428571428571,0.679824561403509,0.847222222222222,0.759259259259259
"9",0.771428571428571,0.773333333333333,0.766666666666667,0.964285714285714,0.762589928057554,0.94,0.965986394557823,0.704918032786885,0.73972602739726,0.847444089456869,0.990476190476191,0.671052631578947,0.944444444444444,0.796296296296296
"10",0.748571428571429,0.766666666666667,0.716666666666667,0.857142857142857,0.733812949640288,0.913333333333333,0.952380952380952,0.721311475409836,0.753424657534247,0.845047923322684,0.961904761904762,0.684210526315789,0.770833333333333,0.62962962962963
"11",0.72,0.806666666666667,0.65,0.964285714285714,0.748201438848921,0.926666666666667,0.947521865889213,0.770491803278688,0.726027397260274,0.820287539936102,0.980952380952381,0.684210526315789,0.875,0.592592592592593
"12",0.662857142857143,0.98,0.7,1,0.748201438848921,0.926666666666667,0.9533527696793,0.737704918032787,0.726027397260274,0.834664536741214,0.971428571428571,0.758771929824561,0.881944444444444,0.648148148148148
"13",0.731428571428571,0.84,0.7,1,0.748201438848921,0.94,0.965986394557823,0.737704918032787,0.73972602739726,0.846645367412141,0.990476190476191,0.62719298245614,0.743055555555556,0.703703703703704
"14",0.731428571428571,0.993333333333333,0.666666666666667,1,0.748201438848921,0.92,0.908649173955296,0.770491803278688,0.780821917808219,0.844249201277955,0.971428571428571,0.692982456140351,0.75,0.648148148148148
"15",0.754285714285714,0.786666666666667,0.683333333333333,1,0.748201438848921,0.913333333333333,0.9533527696793,0.721311475409836,0.73972602739726,0.829073482428115,1,0.728070175438597,0.743055555555556,0.611111111111111
"16",0.64,0.793333333333333,0.733333333333333,1,0.748201438848921,0.893333333333333,0.912536443148688,0.721311475409836,0.712328767123288,0.885782747603834,0.980952380952381,0.653508771929825,0.944444444444444,0.703703703703704
"17",0.748571428571429,0.853333333333333,0.75,0.964285714285714,0.741007194244604,0.946666666666667,0.965014577259475,0.688524590163934,0.767123287671233,0.863418530351438,1,0.706140350877193,0.6875,0.574074074074074
"18",0.662857142857143,0.726666666666667,0.716666666666667,0.964285714285714,0.748201438848921,0.94,0.960155490767736,0.737704918032787,0.73972602739726,0.781948881789137,0.990476190476191,0.666666666666667,0.708333333333333,0.648148148148148
"19",0.725714285714286,0.8,0.7,0.964285714285714,0.748201438848921,0.946666666666667,0.931972789115646,0.754098360655738,0.726027397260274,0.854632587859425,0.971428571428571,0.68859649122807,0.666666666666667,0.62962962962963
"20",0.691428571428571,0.986666666666667,0.683333333333333,0.964285714285714,0.748201438848921,0.953333333333333,0.907677356656948,0.737704918032787,0.73972602739726,0.813897763578275,0.980952380952381,0.706140350877193,0.736111111111111,0.574074074074074
